Team1,Team1Players,Team1Prospects,Team1Picks,Team1Cash,Team2,Team2Players,Team2Prospects,Team2Picks,Team2Cash,Date
LosAngeles,"Rasmus Dahlin, Kasper Kapanen",,,,Rangers,Brett Connolly,Cal Foote,"NYR 1st 2019, NYR 2nd 2019, NYR 3rd 2019, NYR 1st 2020, BOS 1st 2020, FLA 1st 2020, BOS 2nd 2020",4,7/9/2020
Dallas,Justin Bailey,Erik Foley,DAL 1st 2022,,LosAngeles,Sam Bennett ,,,,7/9/2020
Washington,Joe Thornton,,,,Toronto,Lars Eller,,,,7/30/2020
Boston,,,BOS 3rd 2022,0.5,Philly,Andy Greene,,,,8/27/2020
Carolina,Adam Brooks,,PIT 3rd 2019,,Winnipeg,Zack Kassian,,,,8/27/2020
Edmonton,"John Gibson, Claude Giroux, Mark Staal",,,,Florida,"Matt Dumba, Anthony Mantha, Devin Dubnyk",,FLA 1st 2021,,9/4/2020
Edmonton,Mike Green,,EDM 4th 2020,,Toronto,,,TOR 3rd 2022,,9/5/2020
Colorado,"Derek Stepan, Martin Jones",,,,Rangers,David Rittich,,"NYR 4th 2019, WASH 4th 2019, NYR 3rd 2020, NYR 4th 2020",,9/8/2020
Colorado,Shayne Gostisbehere,,,,Toronto,Justin Braun,,"TOR 3rd 2019, TOR 4th 2019, EDM 4th 2020",,9/8/2020
Florida,,"Kale Clague, Mikhail Berdin","FLA 4th 2021, FLA 2nd 2022",,Vancouver,P. K. Subban,,,,9/8/2020
Montreal,,,"LA 3rd 2020, BOS 4th 2021, TOR 4th 2021",,Colorado,Nick Bonino,,,,9/10/2020
Colorado,Rickard Rakell,,EDM 4th 2020,,Edmonton,Connor Garland,Noah Gregor,EDM 2nd 2021,,9/10/2020
Colorado,Nick Foligno,,,,Toronto,Nick Schmaltz,,"TOR 2nd 2019, PIT 4th 2019",,9/10/2020
Vancouver,Joe Pavelski,,,,New Jersey,,,"MIN 2nd 2020, EDM 3rd 2019",,9/10/2020
Montreal,"Fredrik Claesson, Chris Wideman",,TOR 3rd 2020,,Toronto,Corey Perry,,,,9/10/2020
Montreal,,,"CAR 4th 2021, WAS 4th 2021",,Islanders,Cody Franson,,,,9/10/2020
Anaheim,,,"ANA 1st 2020, LA 2nd 2020",,Rangers,Jared Spurgeon ,,,,9/10/2020
Vancouver,Dustin Byufglien,,Cameron Crotty,,Rangers,,"Jeremy Lauzon, Rasmus Asplund, Jonas Johansson",,,9/10/2020
Rangers,Derek Stepan,William Lagesson,,,Pittsburgh,,,"EDM 2nd 2020, PIT 3rd 2020",,9/10/2020
Anaheim,Jeff Carter,,"ANA 2nd 2019, ANA 2nd 2021",,Colorado,Eric Staal,,,1,9/10/2020
Colorado,Leo Komarov,,,,Florida,,,,1.5,9/10/2020
Pittsburgh,,,NAS 3rd 2019,,Philly,Calvin DeHaan,,,,9/10/2020
New Jersey,Adam Henrique,,,,Columbus,,,CBJ 3rd 2020,,9/13/2020
Colorado,Jeff Carter,,,,Toronto,,,"TOR 3rd 2020, TOR 4th 2022",,9/13/2020
Columbus,,,CBJ 2nd 2020,,Philly,Josh Manson,,,,9/13/2020
Pittsburgh,Dmitry Kulikov,,,,Chicago,,,CHI 4th 2019,,9/13/2020
Washington,Nikita Zadorov,,,,Edmonton,,,EDM 3rd 2021,,9/14/2020
Washington,,,EDM 3rd 2021,2.5M,Ottawa,Ondrej Palat,,,,9/14/2020
Montreal," Josh Archibald, Scott Harrington, Nic Petan, Frederik Gauthier",,,,Columbus,"Thomas Hickey, Jason Pominville",,,,9/14/2020
Toronto,Braydon Coburn,,"TOR 1st 2020, NYR 2nd 2020, TOR 4th 2020",,Rangers,Jeff Petry,,,,9/14/2020
Vancouver,James Neal,,,,Florida,Mikkel Boedker,,,1.25,9/14/2020
Rangers,Braydon Coburn,,,,Chicago,,,CHI 3rd 2021,,9/14/2020
