Team1,Team1Players,Team1Prospects,Team1Picks,Team1Cash,Team2,Team2Players,Team2Prospects,Team2Picks,Team2Cash,Date,
Washington,Justin Schultz,,,,Chicago,,,CHI 4th 2023,,12/16/2020,
Washington,Alex Galchenyuk,,,,Vancouver,,,VAN 3rd 2021,,12/16/2020,
Phoenix,,,,9,LosAngeles,,,"LA 2nd 2021, LA 2nd 2023",,12/18/2020,here
Phoenix,,,,7,LosAngeles,,,"BOS 2nd 2020, LA 3rd 2021",,12/18/2020,
Phoenix,,,,5,Chicago,,,NJ 2nd 2020,,12/18/2020,
Edmonton,,,,1,New Jersey,Jake Gardiner,,,,12/20/2020,
LosAngeles,"Jack Campbell, Cale Fleury",,LA 4th 2020,,Rangers,Sergei Bobrovsky,,,,12/20/2020,
Edmonton,"Nikita Zadorov, Richard Rakell",,,,LosAngeles,,Trent Frederic,FLA 1st 2020,,12/22/2020,
New Jersey,,,ANA 2nd 2020,,Phoenix,,,,5,12/22/2020,
New Jersey,David Krejci,,,,Edmonton,,,EDM 4th 2020,5,12/22/2020,
Edmonton,David Krejci,,,4,Anaheim,Cam Fowler,,ANA 4th 2020,,12/22/2020,
New Jersey,"Antti Suomela, Carter Verhaeghe ",,,,Montreal,,,,0.9,12/27/2020,
Rangers,Victoria Arvidsson ,,,,Toronto,Dante Fabbro,,TOR 2nd 2021,,12/27/2020,
Rangers,"Patrice Bergeron, Josh Brown",,,,Chicago,"William Karlsson, Matt Duchene, Alex Kerfoot",,,,12/27/2020,
New Jersey,,,CHI 4th 2020,,Phoenix,"Stephen Johns, Taylor Fedun",,,,12/29/2020,
Vancouver,,,,1.5,Carolina,Michal Kempny,,,,12/31/2020,
New Jersey,Anton Khudobin,,NJ 2nd 2021,0.5,Minnesota,,,MIN 1st 2022,,1/1/2021,
Nashville,Justin Faulk,,,,Rangers,,,CHI 3rd 2020,,1/3/2021,
Nashville,Mika Zibanejad,,,,Rangers,"Oscar Klefbom, Matt Duchene",,,,1/3/2021,
Rangers,Justin Faulk,,"EDM 2nd 2020, TOR 2nd 2020",,Philly,Anthony DeAngelo,,,1,1/4/2021,
Toronto,John Moore,,,,LosAngeles,,,LA 4th 2023,,1/7/2021,
New Jersey,Taylor Fedun,,,,Toronto,,,,0.15,1/7/2021,
Edmonton,"Aleksander Barkov, Tom Wilson, Mike Hoffman",,,4.75,Washington,"Nikita Kucherov, Ondrej Palat",,,,1/16/2021,
Ottawa,,,PHO 2nd 2020,,Colorado,Yanni Gourde,,,,2/2/2021,
New Jersey,,,NJ 3rd 2021,,Montreal,,,MTL 3rd 2020,,2/2/2021,
Edmonton,Ryan Strome,,"FLA 1st 2020, FLA 1st 2021",,Montreal,,,"EDM 1st 2020, EDM 1st 2021, CHI 2nd 2020, BOS 3rd 2021",,2/4/2021,
Phoenix,"Michael Hutchinson, Justin Schultz",,,0.5,LosAngeles,,,"LA 4th 2021, LA 4th 2022",,2/5/2021,
Edmonton,Anthony Mantha,,,2.5,LosAngeles,,"Lassi Thompson, Olivier Wahlstrom",,,2/9/2021,
Edmonton,John Carlson,,,,Minnesota,Seth Jones,,,,2/10/2021,
Edmonton,,,,2.5,San Jose,Erik Haula,,,,2/12/2021,
St. Louis,"Phillip Danault, Patric Hornqvist",,,,San Jose,Colton Sceviour,,"SJ 2nd 2020, SJ 3rd 2020",,2/12/2021,
Vancouver,Charlie Coyle,,,,Montreal,Nick Bonino,Pontus Holmberg,,2,2/12/2021,
LosAngeles,,,,0.35,Islanders,Jaroslav Halak,,,,2/12/2021,
St. Louis,"Petr Mrazek, CJ Franklin",,,,Rangers, Alex Kerfoot,,LA 2nd 2020,,2/13/2021,
Montreal,Tanner Pearson,,"MTL 3rd 2021, NJ 3rd 2021",,LosAngeles,"Sergei Bobrovsky, Madison Bowey",,,,2/17/2021,
Nashville,"Alexander Ovechkin, MikaelBacklund, Niklas Hjalmarsson ",,,,Toronto,"Jakub Voracek, Nick Foligno, Jordan Staal, Roman Polak, Ivan Barbashev",,,,2/17/2021,
LosAngeles,,,"LA 3rd 2022, LA 3rd 2023",,Toronto,,,,2.5,2/17/2021,
St. Louis,Brendan Dillon,,,,Colorado,,,NSH 4th 2020,,2/18/2021,
New Jersey,"Shea Theodore, Frederick Andersen",,,2,LosAngeles,"Nikita Zadorov, Jaroslev Halak","Ville Heinola, Cal Foote, Lucas Dostal","BOS 1st 2020, LA 1st 2022",,2/18/2021,
New Jersey,Brayden Schenn,"Riley Damiani, Zach Whitecloud","CAR 1st 2020, MTL 3rd 2020, EDM 4th 2020",,Edmonton,Brad Marchand,,,2.5,2/20/2021,
Edmonton,"Duncan Keith, Jordan Binnington, Zac  Whitecloud, Eric Haula",,,,Boston,"Robin Lehner, Andrew Shaw",Simon Holmstrom,"BOST 1st 2023, BOS 3rd 2023",,2/25/2021,
Vancouver,Aaron Dell,,,,San Jose,Antti Niemi,,SJ 4th 2020,0.75,2/25/2021,
Vancouver,Eric Staal,,,,Toronto,Mikael Backlund,,TOR 4th 2020,,3/1/2021,
Vancouver,,,VAN 1st 2021,,Washington,,Kevin Lankinen,,,3/3/2021,
New Jersey,,,,3,Carolina,,Pavel Francouz,,,3/7/2021,
Montreal,,,,1.5,Carolina,,Julius Nattinen,,,3/8/2021,
Buffalo,Devan Dubnyk ,,,,Rangers,,"Filip Westerlund, Danila Zhuravlyov",,,3/21/2021,
Florida,,,"FLA 3rd 2021 , FLA 3rd 2023",,Dallas,Ryan Reaves,,,,3/23/2021,
Florida,,,,0.175,Montreal,"Andrew Ladd , Nate Thompson",,,,3/23/2021,
Florida,,,,0.171,Washington,Michael Del Zotto,,,,3/23/2021,
Toronto,Nikita Zaitsev ,,,,Tampa Bay,,,"TB 3rd 2022, TB 4th 2023",,3/31/2021,
Rangers,William Karlsson,,,,Colorado,"Nick Schmaltz, Robby Fabbri","Alexander True, Artemi Kniazev, Antti Tuomisto",,,3/31/2021,
Tampa Bay,,Jachym Kondelik,CHI 2nd 2021,,Toronto,,Filip Gustavsson,,,3/31/2021,
Toronto,,,"FLA 4th 2021, TB 3rd 2022",4.5,Vancouver,Jason Zucker,,,,4/4/2021,
Toronto,Mark Jankowski,,,,Montreal,Alex Petrovic,,,1,4/4/2021,
Columbus,David Savard,,,,Toronto,Kevin Shattenkirk,,TB 4th 2023,0.25,4/6/2021,
Edmonton,,Lassi Thomson,"MTL 3rd 2020, EDM 4th 2023",,Tampa Bay,Chris Kreider,,,,4/6/2021,
Edmonton,"Cam Fowler, Tyler Ennis, Trevor Lewis",,"EDM 4th 2020, ANA 4th 2020, BOS 3rd 2021",,Montreal,"Craig Smith, Connor Murphy",,,3,4/12/2021,
Montreal,Luke Schenn,,,,San Jose,Juuso Riikola,,,,4/12/2021,
Nashville,,,,0.25,Rangers,"Jimmy Hayes, Jon Merrill",,,,4/13/2021,
Nashville,Samuel Girard,,,,Rangers,"P.K. Subban, Colton Sceviour",Cale Fleury,TOR 2nd 2021,,4/13/2021,
Colorado,,Kieffer Bellows,TOR 4th 2022,,Vancouver,Paul Stastny,,,,4/13/2021,
Montreal,Cam Fowler,,,6,LosAngeles,,Vladislav Yeryomenko ,"MON 3rd 2021, NJ 3rd 2021",,4/13/2021,
San Jose,Patric Hornqvist,Joseph Nardi,SJ 1st 2020,1.5,Rangers,Phil Kessel,,,,4/13/2021,
Washington,"Kris Russell, Markus Nutivaara",,,1.25,Ottawa,,,"CBJ 3rd 2020, CHI 3rd 2022",,4/13/2021,
Florida,,Angus Crookshank,,,Tampa Bay,,,TB 4th 2022,,4/14/2021,
Montreal,,,,1.8,Colorado,Pontus Aberg,,MON 4th 2021,,4/14/2021,
Ottawa,,,OTT 1st 2023,,Phoenix,,,,13,4/15/2021,
Rangers,,,,0.2,Montreal,Alex Chiasson,,,,4/15/2021,
Washington,Erik Karlsson,,,3.5,Toronto,Nate Schmidt,,"CHI 2nd 2021, LA 4th 2023",,4/15/2021,LA resigns schmidt
Rangers,Sean Monahan,,,,Toronto,Tyler Seguin,"Otto Kivenmaki, David Tendeck. ",,,4/15/2021,
Washington,,Connor Mackey,"CHI 2nd 2021, DAL 4th 2021",,Montreal,Ryan Strome,,,,4/15/2021,
Washington,,,,3,Winnipeg,Anton Stralman,,,,4/16/2021,
Rangers,Mike Smith,,,,LosAngeles,,"Josiah Slavin,Oskar Back, Hunter Jones, Jacob Olofsson",,,4/18/2021,
Edmonton,"Tomas Hertl, Brayden Schenn,Cal Clutterbuck",,,4,Pittsburgh,"JT Miller, Nino Niederreiter",,PIT 2nd 2020,,4/20/2021,
Edmonton,,,BOS 1st 2023,,Dallas,Tyler Bertuzzi ,,ANA 1st 2021,,4/22/2021,
San Jose,Max Domi,,,,Carolina,"Jaden Schwartz, Anthony Stolarz",,,,4/22/2021,
New Jersey,"Alex Goligoski, 500 dogecoin",,,,Florida,Travis Dermott,,,0.25,4/22/2021,
Toronto,Brandon Tanev,,,,Vancouver,,,VAN 3rd 2022,,4/22/2021,
Washington,Anton Stralman,,WAS 2nd 2020,3,Colorado,Brenden Dillon,,,,4/23/2021,
Edmonton,,"Joakim Ryan, Adam Erne","EDM 1st 2020, CAR 1st 2020, EDM 1st 2021, ANA 1st 2022",,Buffalo,"Darnell Nurse, Justin Holl",,,,4/24/2021,
Edmonton,Nino Niederriter,,,,Ottawa,,,OTT 2nd 2020,,4/24/2021,
Tampa Bay,"Josh Anderson, Brandon Sutter",,,,LosAngeles,,,LA 1st 2020,1,4/24/2021,
Montreal,Chris Wideman,,,,Toronto,,,,0.075,4/24/2021,
Tampa Bay,Calle Jarnkrok ,,,,Toronto,,,TOR 4th 2023,,4/24/2021,
