Team1,Team1Players,Team1Prospects,Team1Picks,Team1Cash,Team2,Team2Players,Team2Prospects,Team2Picks,Team2Cash,Date
New Jersey,,,NJ 1st 2020,,Phoenix,,,ANA 2nd 2020,14,6/12/2021
Montreal,,,FLA 1st 2020,,Phoenix,,,"NJ 2nd 2020, FLA 2nd 2020, NJ 3rd 2020",,6/12/2021
Montreal,,,MTL 1st 2020,,St. Louis,,,"STL 1st 2020, STL 3rd 2020",,6/12/2021
Washington,,,ANA 4th 2020,,Montreal,,,WAS 4th 2020,0.05,6/12/2021
Washington,,,,8,St. Louis,,,"LA 2nd 2020, SJ 2nd 2020",,6/13/2021
Washington,,,,15,San Jose,,,SJ 1st 2022,,6/13/2021
LosAngeles,,,"LA 1st 2021, LA 1st 2023",,Calgary,,,,32,6/14/2021
Rangers,,,ANA 1st 2020,,Tampa Bay,,,"CHI 1st 2021, TB 3rd 2023",,6/14/2021
Rangers,,,NYR 2nd 2020,,Toronto,,,"LA 3rd 2022, VAN 3rd 2022, TOR 3rd 2023",,6/14/2021
