Team,Name,Type,Years,Salary,Bonus,Date,Status,Notes
Montreal,Ryan White,S,2,0.5,,4/10/2020,UFA,d
Columbus,Derek Grant,S,3,0.6,,4/10/2020,UFA,d
Columbus,Adam Clendening ,S,4,0.7,,4/10/2020,UFA,d
Washington,Nikita Zadorov,S,2,1.5,4.5,4/10/2020,UFA,d
Toronto,John Moore,S,2,1.75,1,4/10/2020,UFA,d
Boston,Carter Hutton,S,4,2.25,,4/10/2020,UFA,d
Montreal,Ben Hutton,S,2,2,,4/10/2020,RFA,d
Buffalo,Sam Gagner,S,2,2.5,2,4/10/2020,UFA,d
Philly,Zac Rinaldo,S,5,0.5,,4/10/2020,UFA,d
Buffalo,Andrew Cogliano,S,2,2,2,4/10/2020,UFA,d
Montreal,Jonathan Ericsson,S,1,0.8,0.2,4/10/2020,UFA,d
Columbus,Gus Nyquist,S,4,3.4,4.2,4/10/2020,UFA,d
Tampa Bay,Brandon Sutter,S,3,0.95,,4/10/2020,UFA,d
Florida,Henrik Zetterberg,S,1,0.7,,4/10/2020,UFA,d
Phoenix,Mattias Jamark-Nylen ,S,3,0.75,,4/10/2020,UFA,d
Washington,Michael Del Zotto,S,2,1.5,4.5,4/10/2020,UFA,d
Washington,Joe Thornton,S,1,2.75,8.25,4/10/2020,UFA,d
Tampa Bay,Mark Borowiecki,S,4,1,1,4/10/2020,UFA,d
Tampa Bay,Mathieu Perreault,S,3,2.25,1.5,4/10/2020,UFA,d
Columbus, Sean Kuraly,S,4,1.2,,4/10/2020,UFA,d
Rangers, Louis Domingue,S,3,0.85,,4/10/2020,UFA,d
Philly,Miika Salomaki,S,5,0.5,,4/10/2020,UFA,d
Philly,Scott Wilson,S,5,0.4,,4/10/2020,UFA,d
Colorado,Tomas Nosek,S,3,0.65,0.75,4/10/2020,UFA,d
Edmonton,David Backes,S,1,0.95,2.85,4/10/2020,UFA,d
Columbus,Thomas Hickey,S,3,1.5,,4/10/2020,UFA,d
Pittsburgh , Derrick Pouliot,S,3,0.85,,4/10/2020,RFA,d
Pittsburgh ,Taylor Leier,S,3,0.525,,4/10/2020,RFA,d
Pittsburgh ,Curtis Lazar,S,3,0.8,,4/10/2020,RFA,d
Tampa Bay,Calle Jarnkrok,S,3,1.5,1.5,4/10/2020,UFA,d
Montreal,Justin Abdelkader,S,1,2.2,,4/10/2020,UFA,d
Florida,Ryan Miller,S,2,0.75,,4/10/2020,UFA,d
Florida,Matt Dumba,S,3,4,6,4/10/2020,RFA,d
Pittsburgh ,Justin Williams,S,1,3.6,2.4,4/10/2020,UFA,d
Florida,Matt Grzelcyk,S,4,0.75,,4/10/2020,UFA,d
Tampa Bay,Connor Brown,S,5,2.25,1.75,4/10/2020,UFA,d
Montreal,Daniel Winnik,S,2,0.6,,4/10/2020,UFA,d
St. Louis,Peter Mrazek,S,3,2.5,2.25,4/10/2020,UFA,over
Edmonton,Valtteri Filppula,S,2,0.6,1.8,4/10/2020,UFA,d
Winnipeg,Kevan Miller,S,2,1.5,,4/10/2020,UFA,d
New Jersey,Adam Henrique,S,2,3.75,2,4/10/2020,UFA,d
Phoenix,Gleason Fournier,S,3,0.4,,4/10/2020,UFA,d
Columbus,Mikko Koivu,S,3,2.3,,4/10/2020,UFA,d
Toronto,Justin Braun,S,2,3.5,3,4/10/2020,UFA,d
Pittsburgh ,Conor Sheary,S,5,2.5,5,4/10/2020,UFA,d
Columbus, Derick Brassard,S,3,3.1,,4/10/2020,UFA,d
St. Louis,Patric Hornqvist,S,2,3.75,1.5,4/10/2020,UFA,d
St. Louis,Darren Helm,S,3,1.5,,4/10/2020,UFA,d
Montreal,Vladimir Sobotka,S,2,0.7,,4/10/2020,UFA,d
Phoenix,Cody Rosen,S,3,0.4,,4/10/2020,UFA,d
St. Louis,Alexander Petrovic,S,3,1.5,,4/10/2020,UFA,d
Dallas,Brent Seabrook,S,2,4,7.5,4/10/2020,UFA,d
St. Louis,Cody Eakin,S,3,1.75,,4/10/2020,UFA,d
Dallas,Ian Cole,S,2,3,4,4/10/2020,UFA,d
Buffalo,Kyle Clifford,S,3,0.8,1.2,4/10/2020,UFA,d
Dallas,Linus Ullmark,S,3,1.75,,4/10/2020,RFA,d
Carolina,Matt Calvert ,S,2,0.7,1.1,4/10/2020,UFA,d
Anaheim,Wayne Simmonds,S,2,1.75,4.5,4/10/2020,UFA,d
Anaheim,Jay Bouwmeester,S,1,1,3,4/10/2020,UFA,d
Tampa Bay,Brad Hunt,S,2,0.6,,4/10/2020,UFA,d
Dallas,Riley Nash,S,3,0.75,,4/10/2020,UFA,d
Phoenix,Eetu Laurikainen,S,3,0.4,,4/10/2020,UFA,d
Montreal,David Desharnais,S,2,0.6,,4/10/2020,UFA,d
Montreal,Josh Archibald,S,3,0.75,,4/10/2020,UFA,d
Washington,Drake Caggiula,S,3,0.5,,4/10/2020,RFA,d
St. Louis,Patrick Nemeth,S,4,0.75,,4/14/2020,UFA,d
Carolina,Alexei Emelin,S,2,0.6,,4/14/2020,UFA,d
Montreal,Scott Harrington,S,3,0.7,,4/14/2020,UFA,d
Montreal,Michael McCarron,S,4,0.6,,4/18/2020,UFA,
Phoenix,Matt O'Conner,S,4,0.4,,4/18/2020,UFA,d
Phoenix,Richard Bachmann,S,4,0.4,,4/18/2020,UFA,d
Phoenix,Teemu Hartikainen,S,4,0.4,,4/18/2020,UFA,d
Phoenix,Vojtec Moizek,S,4,0.4,,4/18/2020,UFA,d
Florida,Kyle Okposo,S,3,2.5,,4/18/2020,UFA,d
Edmonton,Mike Green ,S,1,0.95,2.85,4/18/2020,UFA,d
Edmonton,Dan Hamhuis,S,1,0.7,2.1,4/18/2020,UFA,d
Carolina,Brad Richardson,S,1,0.5,1.2,4/20/2020,UFA,d
Florida,Alex Steen,S,1,2.5,4.5,4/26/2020,UFA,d
Florida,Riley Sheahan,S,5,0.65,,4/26/2020,UFA,d
Detroit,Dennis Rasmussen,S,5,0.5,,5/3/2020,UFA,d
Detroit,Nick Spalding ,S,2,0.5,,5/3/2020,UFA,d
Detroit,Juri Tlusty,S,2,0.5,,5/3/2020,UFA,d
Detroit,Keaton Ellerby,S,2,0.5,,5/3/2020,UFA,d
Detroit,Austin Madaisky ,S,4,0.5,,5/3/2020,UFA,d
Detroit,Tim Erixon,S,4,0.5,,5/3/2020,UFA,d
Detroit,Troy Grosenik,S,4,0.5,,5/3/2020,UFA,d
Montreal,Christian Folin,S,2,0.7,,5/3/2020,UFA,d
Washington,Jason Spezza,S,3,0.45,,5/3/2020,UFA,d
Detroit,Evan Rodrigues,S,5,0.65,1,5/3/2020,UFA,d
Rangers,Jon Merrill,S,4,0.7,,5/5/2020,UFA,d
Carolina,Jason Chimera,S,1,0.5,,5/5/2020,UFA,d
Ottawa,Xavier Ouellet,S,1,0.4,,5/7/2020,UFA,d
Philly,Johan Gustafsson,S,1,0.4,,5/7/2020,UFA,
Philly,Nic Dowd,S,1,0.45,,5/7/2020,UFA,
Washington,Joel Ward,S,1,0.4,,5/7/2020,UFA,
Islanders,David Schlemko,S,1,0.4,,5/7/2020,UFA,
Islanders,Jay Beagle,S,1,0.4,,5/7/2020,UFA,
Islanders,Torry Mitchell,S,1,0.4,,5/7/2020,UFA,
Islanders,Joel Colborne,S,1,0.4,,5/7/2020,UFA,
Philly,Nikita Nesterov,S,3,0.4,,5/14/2020,UFA,
Philly,Dakota Joshua,S,3,0.4,,5/14/2020,UFA,
Philly,Connor Hobbs,S,3,0.4,,5/14/2020,UFA,
Philly,Lehland Irving,S,3,0.4,,5/14/2020,UFA,
Philly,Andre Loktionov,S,3,0.4,,5/14/2020,UFA,
Philly,Nikita Soshnikov,S,3,0.4,,5/14/2020,UFA,
Philly,Anton Zlobin,S,3,0.4,,5/14/2020,UFA,
Minnesota,Jake McCabe,S,1,0.9,0.2,5/19/2020,RFA,
Montreal,Dmitrij Jaskin,S,3,0.7,,5/28/2020,UFA,
St. Louis,Alexei Marchenko,S,4,0.45,,5/28/2020,UFA,
Boston,Matt Bartkowski,S,1,0.85,,6/11/2020,UFA,
Rangers,Jimmy Hayes,S,2,0.5,,6/11/2020,UFA,
New Jersey,Pavel Datsyuk,S,1,0.4,,6/11/2020,UFA,
Toronto,Michael Neuvirth,S,1,0.5,,6/11/2020,UFA,
Islanders,Scott Darling,S,1,0.5,,6/11/2020,UFA,
LosAngeles,Mike Aviani,S,3,0.4,,6/30/2020,UFA,
LosAngeles,Connor Brickley,S,3,0.8,,6/30/2020,UFA,
Minnesota,Seth Jones,S,3,5,7.5,9/13/2020,RFA,
Chicago,Max McCormick,S,2,0.75,,9/13/2020,UFA,
Chicago,Phil Di Giuseppe,S,2,0.75,,9/13/2020,UFA,
Chicago,Yaroslav Kosov,S,2,0.75,,9/13/2020,UFA,
Chicago,Patrick Eaves,S,2,0.75,,9/13/2020,UFA,
Chicago,Darren Dietz,S,2,0.75,,9/13/2020,UFA,
Chicago,Tom Parisi,S,2,0.75,,9/13/2020,UFA,
Chicago,Duncan Siemens,S,2,0.75,,9/13/2020,UFA,
Chicago,Kari Lehtonen,S,2,0.75,,9/13/2020,UFA,
Chicago,Matt Hunwick,S,2,0.75,,9/13/2020,UFA,
New Jersey,Dylan Demelo,S,1,1,,9/28/2020,UFA,
New Jersey,Steven Stamkos,E,3,5.75,17.25,4-Jun-20,UFA,
St. Louis,Semyon Varlamov,E,2,4,5,27-Jul-20,UFA,
St. Louis,Tyler Toffoli,E,4,3,7,27-Jul-20,UFA,
Columbus,Braden Holtby,E,2,6,7,3-Sep-20,UFA,
St. Louis,Frank Vatrano,E,4,1.5,,3-Sep-20,RFA,
St. Louis,Jared McCann,E,4,1.5,,3-Sep-20,RFA,
St. Louis,Miles Wood,E,4,1.25,,3-Sep-20,RFA,
Pittsburgh,Nino Neiderreiter,E,3,3.5,6,7-Sep-20,UFA,
Pittsburgh,Dmitry Orlov,E,3,3.5,6,7-Sep-20,UFA,
Pittsburgh,Adam Pelech,E,3,2,,7-Sep-20,RFA,
Pittsburgh,Ryan Pulock,E,3,3.25,3.75,7-Sep-20,RFA,
Rangers,Nicklas Backstrom,E,2,4,11,7-Sep-20,UFA,
Rangers,Patrice Bergeron,E,2,4.75,13.5,7-Sep-20,UFA,
Rangers,Jonathan Huberdeau,E,3,4.25,12.75,7-Sep-20,UFA,
Rangers,David Pastrnak,E,2,3.5,10,7-Sep-20,RFA,
Rangers,Rasmus Ristolainen,E,1,2,4.5,7-Sep-20,RFA,
Rangers,Andreas Athanasiou,E,1,1.5,2,7-Sep-20,RFA,
Rangers,Devin Shore,E,3,1,,7-Sep-20,RFA,
Rangers,Jujhar Khaira,E,3,0.925,,7-Sep-20,RFA,
New Jersey,Jacob Trouba,E,3,4,10.5,7-Sep-20,RFA,
Chicago,Sidney Crosby,E,2,5.5,16,10-Sep-20,UFA,
Dallas,Ryan O'Reilly,E,3,4.5,12,10-Sep-20,UFA,
Dallas,Milan Lucic,E,3,2,6,10-Sep-20,UFA,
Dallas,Shea Weber,E,2,5,9,10-Sep-20,UFA,
Florida,Leon Draisaitl,E,3,5,15,10-Sep-20,RFA,
Florida,David Perron,E,3,3.85,7.35,10-Sep-20,UFA,
Tampa,Zach Werenski,E,2,3.5,6,10-Sep-20,RFA,
Tampa,Chris Kreider,E,1,4,2.5,10-Sep-20,UFA,
Winnipeg,Kyle Palmieri,E,2,4,4,10-Sep-20,UFA,
Winnipeg,Scott Laughton,E,3,2,,10-Sep-20,RFA,
Winnipeg,Alec Martinez,E,2,4,2,10-Sep-20,UFA,
Winnipeg,Sam Reinhart,E,4,5,,10-Sep-20,RFA,
Winnipeg,Jacob De La Rose,E,4,0.85,,10-Sep-20,RFA,
Carolina,Max Pacioretty,E,3,3.8,11.4,10-Sep-20,UFA,
Carolina,Jake Muzzin,E,3,3.25,9.75,10-Sep-20,UFA,
Carolina,Dylan Larkin,E,3,3.5,10.5,10-Sep-20,RFA,
Carolina,Elvis Merzlikins,E,3,1,3,10-Sep-20,RFA,
Carolina,Anze Kopitar,E,2,4.2,12.6,10-Sep-20,UFA,
Carolina,Jack Eichel,E,4,4.67,14,10-Sep-20,RFA,
Carolina,MacKenzie Macechern,E,5,0.65,,10-Sep-20,RFA,
Carolina,Ville Husso,E,5,0.6,,10-Sep-20,RFA,
Chicago,Alexander Radulov,E,2,3.5,10,12-Sep-20,UFA,
Pittsburgh,Calvin De Haan,E,2,4,3,13-Sep-20,UFA,
Pittsburgh,Matt Murray,E,2,3.25,6.5,13-Sep-20,UFA,
Edmonton,Brad Marchand,E,3,5.5,16.5,13-Sep-20,UFA,
Edmonton,Nikolaj Ehlers,E,4,2.3,6.9,13-Sep-20,RFA,
Chicago,Pekka Rinne,E,1,4,4.5,13-Sep-20,UFA,
Edmonton,Mike Hoffman,E,2,2.9,8.7,13-Sep-20,UFA,
Edmonton,Anthony Mantha,E,3,2.1,6.3,13-Sep-20,RFA,
New Jersey,Joe Pavelski,E,1,1.9,5.7,13-Sep-20,UFA,
Columbus,Josh Manson,E,2,2.25,5.5,13-Sep-20,UFA,
Edmonton,Connor Mcdavid,E,2,4.8,14.4,14-Sep-20,RFA,
Anaheim,Evgeni Malkin,E,2,4.6,13.8,9/14/2020,UFA,
Anaheim,Patrick Kane,E,2,4.8,14.4,9/14/2020,UFA,
Boston,Anthony Duclair,E,4,2.25,,9/14/2020,RFA,
Boston,Joonas Korpisalo,E,4,2,1,9/14/2020,RFA,
Boston,P.E Bellemare,E,2,1,1,9/14/2020,UFA,
Boston,Marco Scandella,E,5,2.5,2.5,9/14/2020,UFA,
Boston,Jamie Oleksiak,E,2,1.25,1.1,9/14/2020,UFA,
Toronto,Mark Stone,E,2,4.5,12,9/14/2020,UFA,
Toronto,Scott Wedgewood,E,2,0.7,,9/14/2020,UFA,
Montreal,Zach Aston-Reese,E,4,1,,9/14/2020,RFA,
Montreal,Frederik Gauthier,E,4,1,,9/14/2020,RFA,
Montreal,Joseph Blandisi,E,4,0.8,,9/14/2020,RFA,
Montreal,William Carrier,E,4,1,,9/14/2020,RFA,
Montreal,Nick Bonino,E,2,2.5,4,9/14/2020,UFA,
Edmonton,Duncan Keith,E,1,2,6,9/14/2020,UFA,
Anaheim,Erik Johnson,E,2,2.8,8.4,9/14/2020,UFA,
Washington,Ondrej Palat,E,2,2.6,5.6,9/14/2020,UFA,
