Team,Name,Type,Years,Salary,Bonus,Date,Status,Notes
Washington,Andrei Vasilevskiy,E,3,5,15,9/14/2020,RFA,
Washington,Erik Karlsson,E,2,4.8,14.4,9/14/2020,UFA,
Washington,Devon Toews,E,4,1.2,3,9/14/2020,RFA,
Ottawa,Marc Andre Fleury,E,2,7,6,9/14/2020,UFA,
Ottawa,Jonathan Toews,E,1,6,4,9/14/2020,UFA,
Vancouver,Christoval Nieves,E,4,0.6,,9/14/2020,RFA,
Vancouver,Brett Kulak,E,5,0.85,,9/14/2020,RFA,
Vancouver,Noel Acciari,E,5,0.9,,9/14/2020,UFA,
Vancouver,Vinnie Hinostroza,E,5,1.1,,9/14/2020,RFA,
Vancouver,Stanislav Galiev,E,5,0.6,,9/14/2020,RFA,
Colorado,Jon Gillies,E,4,0.6,,9/14/2020,RFA,
Colorado,Cal Petersen,E,4,0.6,,9/14/2020,RFA,
Colorado,Christian Djoos,E,4,0.75,,9/14/2020,RFA,
Colorado,Ryan Graves,E,4,0.75,,9/14/2020,RFA,
Colorado,Dominik Simon,E,4,0.85,,9/14/2020,RFA,
Colorado,Robert Hagg,E,4,1.25,2,9/14/2020,RFA,
Nashville,Torey Krug,E,3,4.5,11.3,9/14/2020,UFA,
Nashville,Connor Hellebuyck,E,3,5,13.5,9/14/2020,UFA,
Nashville,Jordan Eberle,E,1,3,2.1,9/14/2020,UFA,
Nashville,Niklas Hjalmarsson,E,1,2,3.2,9/14/2020,UFA,
Nashville,Damon Severson,E,2,2,4.2,9/14/2020,RFA,
San Jose,Jaccob Slavin,E,3,3,11,9/14/2020,RFA,
San Jose,Dougie Hamilton,E,3,4.5,9.5,9/14/2020,UFA,
San Jose,Tomas Tatar,E,2,3,5,9/14/2020,UFA,
San Jose,Max Domi,E,3,3,5,9/14/2020,RFA,
Minnesota,Mark Scheifele,E,3,4.83,14.5,9/14/2020,UFA,
Minnesota,Logan Couture,E,3,3.5,11.8,9/14/2020,UFA,
Minnesota,T.J. Brodie,E,2,2.6,7.8,9/14/2020,UFA,
Minnesota,Zemgus Girgensons,E,2,1,3,9/14/2020,UFA,
Buffalo,Darnell Nurse,E,3,3.7,7,9/14/2020,RFA,
Buffalo,Adam Larsson,E,2,3.5,4.5,9/14/2020,UFA,
Buffalo,Esa Lindell,E,2,2.9,3.4,9/14/2020,RFA,
Buffalo,Jake Virtanen,E,3,1.2,0,9/14/2020,RFA,
