Team1,Team1Players,Team1Prospects,Team1Picks,Team1Cash,Team2,Team2Players,Team2Prospects,Team2Picks,Team2Cash,Date,
Montreal,Jake Muzzin,,,,Carolina,"Justin Abdelkadder, Marco Scandella",,"CHI 2nd 2020, LA 3rd 2020",,9/1/2019,
Montreal,James van Riemsdyk,,,,Toronto,,,"LA 3rd 2018, MTL 4th 2018, WAS 3rd 2019",,9/3/2019,
Montreal,David Krejci,,,2,New Jersey,"Tyler Johnson, Zach Aston-Reese",,BOS 2nd 2019,,9/3/2019,
Montreal,Jake Gardiner,,,,New Jersey,Andreas Borgman,,MTL 2nd 2018,,9/3/2019,
Montreal,"Nick Foligno, David Perron",,,,Colorado,"Sven Andrighetto, Ryan Murphy, Jake Dotchin",,"NAS 3rd 2018, EDM 3rd 2019",,9/3/2019,
Montreal,Lars Eller,,,,Toronto,,,TOR 3rd 2020,,9/6/2019,
Montreal,Alex Goligoski,,,,Carolina,,,"CAR 4th 2020, CHI 4th 2020",,9/6/2019,
Montreal,Jonathan Bernier,,,,Pittsburgh,,,PIT 4th 2019,0.5,9/6/2019,
Montreal,Marco Scandella,,,,Toronto,,,TOR 4th 2021,,9/6/2019,
Phoenix,Thomas Vanek,,,,Minnesota,,,MIN 4th 2018,,9/7/2019,
Phoenix,Nate Prosser,,,,Montreal,,,,0.2,9/7/2019,
Montreal,Robin Lehner Andrew Shaw,,,1,Boston,,,"BOS 2nd 2021, BOS 3rd 2021, BOS 4th 2021",,9/7/2019,
Rangers,Corey Crawford,,,1,Islanders,Henrik Lundquist,,,,9/7/2019,
Montreal,,,,5,Islanders,"James Reimer, Pavel Datsyuk, Chris Thorburn ",,,,9/7/2019,
Montreal,Calle Jarnkrok,,,2,Carolina,Artem Anisimov ,,CAR 4th 2021,,9/9/2019,
Toronto,Cam Talbot,,,1,Islanders,Corey Crawford,,,,9/10/2019,
Rangers,Max Pacioretty,,NYR 4th 2021,,Carolina,T.J. Oshie,,"CAR 3rd 2020, CHI 3rd 2020",,9/10/2019,
Rangers,T.J. Oshie,,,,Toronto,,,"TOR 2nd 2020, TOR 3rd 2021",,9/10/2019,
Toronto,Andrew Cogliano,,NYR 4th 2018,,Montreal,Artem Anisimov,,,,9/10/2019,
Edmonton,Jamie Oleksiak,Ollie Lycksell,,6,Boston,Brent Seabrook,,,,9/12/2019,
Tampa Bay,Matt Duchene,,,,Chicago,"Jason Demers, Bobby Ryan",,CHI 1st 2021,,9/12/2019,chicago to pay SB
Colorado,Daniel Sprong,,NYR 2nd 2018,,Minnesota,Martin Jones,,,1,9/12/2019,
Colorado,Brian Elliott ,,,,New Jersey,,,,2.5,9/12/2019,
Tampa Bay,,,"TB 2nd 2019, TB 4th 2019",,Ottawa,"Josh Anderson, Anders Nilsson",,,,9/12/2019,
Montreal,Justin Abdelkader,,,,Florida,,,FLA 4th 2021,,9/12/2019,
Toronto,"Corey Crawford, Brandon Sutter, Sam Bennett",Noah Juulson,TOR 3rd 2018,,LosAngeles,Sergei Bobrovsky,,,,9/12/2019,
Boston,,,BOS 1st 2020,,Rangers,"Jimmy Vesey, Mikhail Vorobyov",,NYR 2nd 2020,,9/12/2019,
Tampa Bay,Loui Eriksson,,,,Rangers,,,,0.25,9/12/2019,
Minnesota,,,,0.5,Tampa Bay,Thomas Greiss,,,,9/12/2019,
Pittsburgh,,,PIT 3rd 2019,,Montreal,Craig Smith,,,,9/12/2019,
Carolina,Neal Pionk,,,,LosAngeles,Corey Crawford,,,,9/12/2019,
Montreal,Brendan Dillon,,,,St. Louis,,,,5,9/12/2019,
Carolina,,,,2.5,Montreal,Nicolas Petan,,,,9/12/2019,
